"PlayTime","LoadValue","PositionValue"
"s","N","mm"
0.0000000000,10.8333300000,0.0015010830
0.0200000000,12.3333300000,0.0018253330
0.0400000000,16.0000000000,0.0021495820
0.0600000000,17.0000000000,0.0024738310
0.0800000000,16.8333300000,0.0027980800
0.1000000000,16.6666700000,0.0031223300
0.1200000000,15.8333300000,0.0034465790
0.1400000000,15.8333300000,0.0038127900
0.1600000000,16.1666700000,0.0041370390
0.1800000000,17.3333300000,0.0044612880
0.2000000000,19.3333300000,0.0047855380
0.2200000000,22.1666700000,0.0051097870
0.2400000000,22.1666700000,0.0054740910
0.2600000000,20.6666700000,0.0057983400
0.2800000000,19.8333300000,0.0061244960
0.3000000000,19.8333300000,0.0064888000
0.3200000000,19.8333300000,0.0068130490
0.3400000000,19.8333300000,0.0071372990
0.3600000000,19.8333300000,0.0075035100
0.3800000000,19.8333300000,0.0078277590
0.4000000000,20.0000000000,0.0081920620
0.4200000000,20.3333300000,0.0085163120
0.4400000000,20.3333300000,0.0088405610
0.4600000000,20.0000000000,0.0092067720
0.4800000000,19.3333300000,0.0095310210
0.5000000000,18.6666700000,0.0098552700
0.5200000000,18.8333300000,0.0101795200
0.5400000000,20.1666700000,0.0105037700
0.5600000000,20.6666700000,0.0108280200
0.5800000000,21.0000000000,0.0111923200
0.6000000000,21.6666700000,0.0115165700
0.6200000000,23.0000000000,0.0118427300
0.6400000000,23.0000000000,0.0121669800
0.6600000000,21.6666700000,0.0124912300
0.6800000000,20.8333300000,0.0128555300
0.7000000000,20.6666700000,0.0131797800
0.7200000000,20.5000000000,0.0135040300
0.7400000000,20.5000000000,0.0138702400
0.7600000000,20.5000000000,0.0141944900
0.7800000000,20.6666700000,0.0145187400
0.8000000000,20.8333300000,0.0148830400
0.8200000000,21.5000000000,0.0152072900
0.8400000000,21.8333300000,0.0155315400
0.8600000000,22.1666700000,0.0158577000
0.8800000000,22.5000000000,0.0161819500
0.9000000000,23.1666700000,0.0165062000
0.9200000000,23.8333300000,0.0168705000
0.9400000000,23.8333300000,0.0171947500
0.9600000000,23.1666700000,0.0175190000
0.9800000000,23.0000000000,0.0178432500
1.0000000000,24.1666700000,0.0181694000
1.0200000000,26.8333300000,0.0185337100
1.0400000000,26.8333300000,0.0188579600
1.0600000000,26.0000000000,0.0191822100
1.0800000000,25.5000000000,0.0195465100
1.1000000000,25.5000000000,0.0198726700
1.1200000000,25.5000000000,0.0201969100
1.1400000000,24.8333300000,0.0205211600
1.1600000000,24.5000000000,0.0208854700
1.1800000000,24.5000000000,0.0212097200
1.2000000000,24.0000000000,0.0215339700
1.2200000000,22.8333300000,0.0218582200
1.2400000000,22.3333300000,0.0221843700
1.2600000000,21.3333300000,0.0225086200
1.2800000000,20.0000000000,0.0228328700
1.3000000000,19.1666700000,0.0231971700
1.3200000000,19.6666700000,0.0235214200
1.3400000000,22.5000000000,0.0238456700
1.3600000000,22.8333300000,0.0241699200
1.3800000000,25.3333300000,0.0245361300
1.4000000000,27.3333300000,0.0248603800
1.4200000000,27.0000000000,0.0251846300
1.4400000000,25.1666700000,0.0255088800
1.4600000000,25.1666700000,0.0258731800
1.4800000000,26.5000000000,0.0261993400
1.5000000000,27.8333300000,0.0265235900
1.5200000000,28.0000000000,0.0268478400
1.5400000000,28.0000000000,0.0271720900
1.5600000000,28.0000000000,0.0274963400
1.5800000000,27.8333300000,0.0278606400
1.6000000000,27.3333300000,0.0281848900
1.6200000000,26.5000000000,0.0285091400
1.6400000000,26.5000000000,0.0288353000
1.6600000000,26.5000000000,0.0291595500
1.6800000000,26.5000000000,0.0295238500
1.7000000000,26.1666700000,0.0298481000
1.7200000000,25.6666700000,0.0301723500
1.7400000000,25.6666700000,0.0304966000
1.7600000000,26.0000000000,0.0308628100
1.7800000000,26.3333300000,0.0311870600
1.8000000000,26.6666700000,0.0315113100
1.8200000000,26.6666700000,0.0318355600
1.8400000000,26.6666700000,0.0321998600
1.8600000000,27.3333300000,0.0325241100
1.8800000000,28.0000000000,0.0328502700
1.9000000000,28.5000000000,0.0331745100
1.9200000000,28.6666700000,0.0334987600
1.9400000000,29.3333300000,0.0338230100
1.9600000000,30.1666700000,0.0341472600
1.9800000000,30.3333300000,0.0344715100
2.0000000000,30.1666700000,0.0348358200
2.0200000000,29.8333300000,0.0351619700
2.0400000000,29.8333300000,0.0354862200
2.0600000000,29.8333300000,0.0358505200
2.0800000000,28.6666700000,0.0361747700
2.1000000000,28.0000000000,0.0364990200
2.1200000000,28.1666700000,0.0368232700
2.1400000000,28.8333300000,0.0371894800
2.1600000000,29.0000000000,0.0375137300
2.1800000000,29.1666700000,0.0378379800
2.2000000000,29.3333300000,0.0381622300
2.2200000000,30.0000000000,0.0384864800
2.2400000000,32.1666700000,0.0388107300
2.2600000000,32.1666700000,0.0391349800
2.2800000000,31.6666700000,0.0394592300
2.3000000000,31.1666700000,0.0398254400
2.3200000000,30.8333300000,0.0401496900
2.3400000000,30.8333300000,0.0404739400
2.3600000000,30.8333300000,0.0408382400
2.3800000000,31.1666700000,0.0411624900
2.4000000000,31.8333300000,0.0414867400
2.4200000000,32.3333300000,0.0418129000
2.4400000000,32.3333300000,0.0421772000
2.4600000000,32.0000000000,0.0425014500
2.4800000000,32.0000000000,0.0428257000
2.5000000000,32.0000000000,0.0431499500
2.5200000000,32.5000000000,0.0435161600
2.5400000000,34.3333300000,0.0438404100
2.5600000000,34.3333300000,0.0441646600
2.5800000000,33.5000000000,0.0444889100
2.6000000000,32.3333300000,0.0448131600
2.6200000000,31.3333300000,0.0451374100
2.6400000000,30.6666700000,0.0455017100
2.6600000000,30.6666700000,0.0458278700
2.6800000000,30.6666700000,0.0461521100
2.7000000000,31.5000000000,0.0465164200
2.7200000000,33.3333300000,0.0468406700
2.7400000000,36.0000000000,0.0471649200
2.7600000000,36.0000000000,0.0475311300
2.7800000000,34.5000000000,0.0478553800
2.8000000000,33.6666700000,0.0481796300
2.8200000000,34.6666700000,0.0485038800
2.8400000000,37.0000000000,0.0488681800
2.8600000000,37.0000000000,0.0491924300
2.8800000000,37.1666700000,0.0495166800
2.9000000000,37.1666700000,0.0498428300
2.9200000000,37.1666700000,0.0501670800
2.9400000000,37.1666700000,0.0504913300
2.9600000000,36.8333300000,0.0508556400
2.9800000000,35.5000000000,0.0511798900
3.0000000000,35.0000000000,0.0515041400
3.0200000000,35.5000000000,0.0518283800
3.0400000000,37.0000000000,0.0521946000
3.0600000000,37.0000000000,0.0525188400
3.0800000000,36.6666700000,0.0528430900
3.1000000000,36.3333300000,0.0532074000
3.1200000000,36.3333300000,0.0535316500
3.1400000000,36.1666700000,0.0538578000
3.1600000000,35.5000000000,0.0541820500
3.1800000000,35.3333300000,0.0545463600
3.2000000000,36.3333300000,0.0548706100
3.2200000000,37.8333300000,0.0551948500
3.2400000000,39.0000000000,0.0555191000
3.2600000000,39.0000000000,0.0558433500
3.2800000000,38.8333300000,0.0561676000
3.3000000000,38.6666700000,0.0565338100
3.3200000000,38.3333300000,0.0568580600
3.3400000000,38.0000000000,0.0571823100
3.3600000000,37.6666700000,0.0575466200
3.3800000000,37.1666700000,0.0578708600
3.4000000000,37.0000000000,0.0581970200
3.4200000000,36.8333300000,0.0585613300
3.4400000000,37.0000000000,0.0588855700
3.4600000000,38.0000000000,0.0592098200
3.4800000000,39.1666700000,0.0595340700
3.5000000000,39.6666700000,0.0598583200
3.5200000000,39.6666700000,0.0602245300
3.5400000000,39.5000000000,0.0605487800
3.5600000000,39.5000000000,0.0608730300
3.5800000000,39.6666700000,0.0611972800
3.6000000000,40.0000000000,0.0615215300
3.6200000000,40.8333300000,0.0618457800
3.6400000000,42.0000000000,0.0621700300
3.6600000000,42.8333300000,0.0625362400
3.6800000000,44.8333300000,0.0628604900
3.7000000000,45.5000000000,0.0631847400
3.7200000000,44.8333300000,0.0635089900
3.7400000000,43.5000000000,0.0638732900
3.7600000000,43.0000000000,0.0641975400
