"PlayTime","LoadValue","PositionValue"
"s","N","mm"
0.0000000000,12.5000000000,0.0015411380
0.0200000000,13.8333300000,0.0018234250
0.0400000000,14.0000000000,0.0021495820
0.0600000000,14.0000000000,0.0024738310
0.0800000000,13.5000000000,0.0027980800
0.1000000000,13.0000000000,0.0031223300
0.1200000000,12.8333300000,0.0034465790
0.1400000000,13.0000000000,0.0037708280
0.1600000000,14.1666700000,0.0041351320
0.1800000000,14.3333300000,0.0044593810
0.2000000000,13.1666700000,0.0047855380
0.2200000000,11.6666700000,0.0051097870
0.2400000000,10.6666700000,0.0054740910
0.2600000000,10.6666700000,0.0057983400
0.2800000000,12.1666700000,0.0061225890
0.3000000000,13.3333300000,0.0064888000
0.3200000000,14.1666700000,0.0068130490
0.3400000000,14.6666700000,0.0071773530
0.3600000000,14.6666700000,0.0075016020
0.3800000000,14.0000000000,0.0078258510
0.4000000000,13.8333300000,0.0081920620
0.4200000000,14.6666700000,0.0085163120
0.4400000000,16.3333300000,0.0088405610
0.4600000000,16.6666700000,0.0091648100
0.4800000000,16.6666700000,0.0094890590
0.5000000000,16.6666700000,0.0098133090
0.5200000000,16.5000000000,0.0101375600
0.5400000000,16.3333300000,0.0105037700
0.5600000000,16.1666700000,0.0108280200
0.5800000000,15.3333300000,0.0111522700
0.6000000000,15.0000000000,0.0114765200
0.6200000000,15.1666700000,0.0118007700
0.6400000000,15.1666700000,0.0121650700
0.6600000000,15.1666700000,0.0124893200
0.6800000000,15.1666700000,0.0128154800
0.7000000000,15.1666700000,0.0131797800
0.7200000000,15.1666700000,0.0135040300
0.7400000000,15.0000000000,0.0138282800
0.7600000000,14.1666700000,0.0141525300
0.7800000000,14.1666700000,0.0144767800
0.8000000000,14.8333300000,0.0148010300
0.8200000000,15.6666700000,0.0151271800
0.8400000000,16.3333300000,0.0154914900
0.8600000000,16.3333300000,0.0158157300
0.8800000000,17.0000000000,0.0161399800
0.9000000000,17.1666700000,0.0164642300
0.9200000000,17.1666700000,0.0167884800
0.9400000000,17.3333300000,0.0171127300
0.9600000000,17.3333300000,0.0174789400
0.9800000000,17.3333300000,0.0178031900
1.0000000000,16.8333300000,0.0181274400
1.0200000000,16.5000000000,0.0184917400
1.0400000000,16.5000000000,0.0188159900
1.0600000000,16.6666700000,0.0191402400
1.0800000000,17.1666700000,0.0194664000
1.1000000000,17.1666700000,0.0198307000
1.1200000000,17.0000000000,0.0201549500
1.1400000000,16.8333300000,0.0204792000
1.1600000000,17.0000000000,0.0208034500
1.1800000000,17.6666700000,0.0211277000
1.2000000000,18.3333300000,0.0214519500
1.2200000000,18.6666700000,0.0217781100
1.2400000000,18.3333300000,0.0221023600
1.2600000000,17.1666700000,0.0224666600
1.2800000000,17.1666700000,0.0227909100
1.3000000000,18.0000000000,0.0231151600
1.3200000000,19.5000000000,0.0234813700
1.3400000000,21.3333300000,0.0238056200
1.3600000000,22.5000000000,0.0241298700
1.3800000000,22.5000000000,0.0244541200
